word,part_of_speech,english_word,sense
최선,adj,best,superlative of the adjective good
더 좋은,adj,better,comparative of the adjectives good or well
자전거,noun,bicycle,vehicle
크다,adj,big,of a great size — see also large
큰,adj,big,of a great size — see also large
자전거,noun,bike,bicycle
부리,noun,bill,bird's beak
새,noun,bird,animal
조류,noun,bird,animal
생일,noun,birthday,anniversary
생신,noun,birthday,anniversary
탄신,noun,birthday,anniversary
검정,noun,black,colour/color
검은색,noun,black,colour/color
흑색,noun,black,colour/color
블로그,noun,blog,a personal or corporate website
금발(金髮)의,adj,blond,of a pale golden colour
파랑,noun,blue,colour
파란색,noun,blue,colour
배,noun,boat,water craft
보트,noun,boat,water craft
몸,noun,body,physical structure of a human or animal
신체,noun,body,physical structure of a human or animal
책,noun,book,collection of sheets of paper bound together containing printed or written material
도서,noun,book,collection of sheets of paper bound together containing printed or written material
장화,noun,boot,heavy shoe that covers part of the leg
목화,noun,boot,heavy shoe that covers part of the leg
심심하다,adj,bored,suffering from boredom
무료하다,adj,boring,causing boredom or tiredness
지루하다,adj,boring,causing boredom or tiredness
재미없다,adj,boring,causing boredom or tiredness
병,noun,bottle,container
상자,noun,box,cuboid space; container
박스,noun,box,cuboid space; container
소년,noun,boy,young male
남자아이,noun,boy,young male
남자애,noun,boy,young male
아이,noun,boy,young male
꼬마,noun,boy,young male
사내아이,noun,boy,young male
남자친구,noun,boyfriend,male partner in a romantic relationship
남친,noun,boyfriend,male partner in a romantic relationship
보이프렌드,noun,boyfriend,male partner in a romantic relationship
빵,noun,bread,baked dough made from cereals
아침,noun,breakfast,first meal of the day
아침밥,noun,breakfast,first meal of the day
아침 식사,noun,breakfast,first meal of the day
조반,noun,breakfast,first meal of the day
조식,noun,breakfast,first meal of the day
가져오다,verb,bring,to transport toward somebody/somewhere
갖다 주다,verb,bring,to transport toward somebody/somewhere
형제,noun,brother,male sibling
형,noun,brother,male sibling
형님,noun,brother,male sibling
오빠,noun,brother,male sibling
남동생,noun,brother,male sibling
동생,noun,brother,male sibling
아우,noun,brother,male sibling
브라더,noun,brother,male sibling
오라버님,noun,brother,male sibling
갈색,noun,brown,colour
만들다,verb,build,(transitive) to form by combining materials or parts
짓다,verb,build,(transitive) to form by combining materials or parts
건설하다,verb,build,(transitive) to form by combining materials or parts
건설,noun,building,act or process of building
버스,noun,bus,vehicle
뻐스,noun,bus,vehicle
사업,noun,business,commercial enterprise or establishment
기업,noun,business,commercial enterprise or establishment
업무,noun,business,commercial enterprise or establishment
버터,noun,butter,soft foodstuff made from milk
빠다,noun,butter,soft foodstuff made from milk
사다,verb,buy,to obtain something with money
구입하다,verb,buy,to obtain something with money
과자,noun,cake,type of sweet dessert
케이크,noun,cake,type of sweet dessert
외침,noun,call,cry or shout
카메라,noun,camera,still camera
사진기,noun,camera,still camera
...을/ᄅ 수 있다,verb,can,to be able to; to know how to
못,verb,cannot,"cannot — see also can, not"
...수 없다,verb,cannot,"cannot — see also can, not"
못하다,verb,cannot,"cannot — see also can, not"
자동차,noun,car,"automobile, a vehicle steered by a driver"
차,noun,car,"automobile, a vehicle steered by a driver"
경력,noun,career,one's calling in life; a person's occupation
직업,noun,career,one's calling in life; a person's occupation
당근,noun,carrot,Daucus carota ssp. sativus
홍당무,noun,carrot,Daucus carota ssp. sativus
나르다,verb,carry,to transport by lifting
고양이,noun,cat,domestic species
센트,noun,cent,subunit of currency in US and elsewhere
전,noun,cent,subunit of currency in US and elsewhere
중심,noun,center,point equidistant from all points on the perimeter of a circle
중앙,noun,center,point equidistant from all points on the perimeter of a circle
의자,noun,chair,furniture
변화,noun,change,the process of becoming different
싸다,adj,cheap,low and/or reduced in price
싼,adj,cheap,low and/or reduced in price
확인하다,verb,check,"to inspect, examine"
치즈,noun,cheese,dairy product
건락,noun,cheese,dairy product
닭,noun,chicken,bird
어린이,noun,child,son or daughter; someone's child
아이,noun,child,son or daughter; someone's child
애,noun,child,son or daughter; someone's child
초콜릿,noun,chocolate,food made from ground roasted cocoa beans
초콜렛,noun,chocolate,food made from ground roasted cocoa beans
초코,noun,chocolate,food made from ground roasted cocoa beans
쵸콜레트,noun,chocolate,food made from ground roasted cocoa beans
쇼콜라,noun,chocolate,food made from ground roasted cocoa beans
고르다,verb,choose,to pick
도시,noun,city,large settlement
시내,noun,city,large settlement
시,noun,city,large settlement
등급,noun,class,"group, collection, category or set sharing characteristics or attributes"
종류,noun,class,"group, collection, category or set sharing characteristics or attributes"
교실,noun,classroom,room in a school
교장,noun,classroom,room in a school
청소하다,verb,clean,(transitive) to remove dirt from a place or object
오르다,verb,climb,"to ascend, to go up"
시계,noun,clock,instrument to measure or keep track of time
닫다,verb,close,obstruct (an opening)
덮다,verb,close,obstruct (an opening)
옷,noun,clothes,apparel
의복,noun,clothes,apparel
동아리,noun,club,association of members
동호회,noun,club,association of members
코트,noun,coat,outer garment covering the upper torso and arms
외투,noun,coat,outer garment covering the upper torso and arms
커피,noun,coffee,beverage
추위,noun,cold,low temperature
색깔,noun,color,spectral composition of visible light
색,noun,color,spectral composition of visible light
오다,verb,come,to move nearer
상호,adj,common,mutual
공통,adj,common,mutual
회사,noun,company,"in legal context, a corporation"
기업,noun,company,"in legal context, a corporation"
비교하다,verb,compare,to assess the similarities between two things or between one thing and another
비유하다,verb,compare,to assess the similarities between two things or between one thing and another
견주다,verb,compare,to assess the similarities between two things or between one thing and another
컴퓨터,noun,computer,programmable electronic device
전자계산기,noun,computer,programmable electronic device
콤퓨터,noun,computer,programmable electronic device
뗀노,noun,computer,programmable electronic device
대화,noun,conversation,expression and exchange of individual ideas through talking with other people
회화,noun,conversation,expression and exchange of individual ideas through talking with other people
이야기,noun,conversation,expression and exchange of individual ideas through talking with other people
얘기,noun,conversation,expression and exchange of individual ideas through talking with other people
요리하다,verb,cook,to prepare food for eating
요리,noun,cooking,the process of preparing food by using heat
료리,noun,cooking,the process of preparing food by using heat
쌀쌀하다,adj,cool,having a slightly low temperature
시원하다,adj,cool,having a slightly low temperature
교정하다,verb,correct,to make something become right that was previously wrong
들다,verb,cost,"to incur a charge, a price"
나라,noun,country,region of land
국가,noun,country,region of land
암소,noun,cow,female domesticated ox or other bovine
크림,noun,cream,oily part of milk
창조하다,verb,create,to put into existence
문화,noun,culture,"arts, customs and habits"
컵,noun,cup,drinking vessel
고뿌,noun,cup,drinking vessel
잔,noun,cup,drinking vessel
끊다,verb,cut,to perform an incision
아빠,noun,dad,informal: a father
아버지,noun,dad,informal: a father
춤추다,verb,dance,move rhythmically to music
추다,verb,dance,move rhythmically to music
춤을 추다,verb,dance,move rhythmically to music
춤꾼,noun,dancer,person who dances
위험하다,adj,dangerous,full of danger
어둡다,adj,dark,having an absolute or relative lack of light
연월일,noun,date,"that which specifies the time of writing, inscription etc."
년월일,noun,date,"that which specifies the time of writing, inscription etc."
월일,noun,date,"that which specifies the time of writing, inscription etc."
날짜,noun,date,"that which specifies the time of writing, inscription etc."
대추,noun,date,fruit of the date palm
딸,noun,daughter,female offspring
따님,noun,daughter,female offspring
낮,noun,day,period between sunrise and sunset
해결하다,verb,decide,to resolve or settle
정하다,verb,decide,to resolve or settle
맛있다,adj,delicious,pleasing to taste
서술하다,verb,describe,to represent in words
묘사하다,verb,describe,to represent in words
묘사,noun,description,account in words
기술,noun,description,account in words
서술,noun,description,account in words
설명,noun,description,account in words
책상,noun,desk,table for writing and reading
대화,noun,dialogue,conversation or other discourse between individuals
회화,noun,dialogue,conversation or other discourse between individuals
사전,noun,dictionary,publication that explains the meanings of an ordered list of words
자서,noun,dictionary,publication that explains the meanings of an ordered list of words
자전,noun,dictionary,publication that explains the meanings of an ordered list of words
옥편,noun,dictionary,publication that explains the meanings of an ordered list of words
죽다,verb,die,to stop living
돌아가시다,verb,die,to stop living
숨지다,verb,die,to stop living
사망하다,verb,die,to stop living
차이,noun,difference,quality of being different
다름,noun,difference,quality of being different
다른,adj,different,not the same
어렵다,adj,difficult,"hard, not easy"
힘들다,adj,difficult,"hard, not easy"
저녁,noun,dinner,evening meal
더럽다,adj,dirty,covered with or containing dirt
토론(討論)하다,verb,discuss,to converse or debate concerning a particular topic
상의(相議)하다,verb,discuss,to converse or debate concerning a particular topic
토의(討議)하다,verb,discuss,to converse or debate concerning a particular topic
접시,noun,dish,vessel for holding/serving food
박사,noun,doctor,person who has attained a doctorate
개,noun,dog,animal
견,noun,dog,animal
구,noun,dog,animal
강아지,noun,dog,animal
달러,noun,dollar,designation for specific currency
불,noun,dollar,designation for specific currency
문,noun,door,"portal of entry into a building, room or vehicle"
아래에,adv,down,"from a high to a low position, downwards"
아래로,adv,down,"from a high to a low position, downwards"
