word,part_of_speech,english_word,sense
點鐘 /点钟,noun,hour,"unit to denote the hour, such as military usage in English"
屋,noun,house,human abode
屋仔,noun,house,human abode
幾 /几,adv,how,to what degree
仰般,adv,how,in what manner
如何,adv,how,in what manner
仰般,adv,how,in what state
如何,adv,how,in what state
肚枵,adj,hungry,affected by hunger; desirous of food
肚飢 /肚饥,adj,hungry,affected by hunger; desirous of food
丈夫,noun,husband,male partner in marriage
先生,noun,husband,male partner in marriage
冰,noun,ice,water in frozen form
冰淇淋,noun,ice cream,dessert
艾司庫淋 /艾司库淋,noun,ice cream,dessert
生趣,adj,interesting,arousing or holding the attention
島 /岛,noun,island,area of land completely surrounded by water
牛仔褲 /牛仔裤,noun,jeans,denim trousers
鎖匙 /锁匙,noun,key,device designed to open and close a lock
知,verb,know,be justifiably certain or sure about (something true)
語言 /语言,noun,language,body of words used as a form of communication
笑,verb,laugh,show mirth by peculiar movement of the muscles of the face and emission of sounds
腿,noun,leg,lower limb from groin to ankle
腳 /脚,noun,leg,lower limb from groin to ankle
下想,noun,leg,portion of the lower appendage from knee to ankle
細腳髀 /细脚髀,noun,leg,portion of the lower appendage from knee to ankle
字母,noun,letter,a symbol in an alphabet
圖書館 /图书馆,noun,library,"institution which holds books, etc."
生命,noun,life,the state of being alive
生活,noun,life,the state of being alive
光,noun,light,electromagnetic waves
獅仔 /狮仔,noun,lion,big cat Panthera leo
聽 /听,verb,listen,to pay attention to a sound
愛 /爱,noun,love,strong affection
愛 /爱,noun,love,strong affection
愛 /爱,verb,love,have a strong affection for
愛 /爱,verb,love,have a strong affection for
雜誌 /杂志,noun,magazine,periodical
男人,noun,man,adult male human
人類 /人类,noun,man,a human being
地圖 /地图,noun,map,visual representation of an area
市場 /市场,noun,market,spacious site for trading
肉,noun,meat,animal flesh used as food
星光半夜,noun,midnight,middle of the night
分鐘 /分钟,noun,minute,unit of time
錯誤 /错误,noun,mistake,an error
模特兒 /模特儿,noun,model,person
模型,noun,model,miniature
模型,noun,model,simplified representation
錢 /钱,noun,money,means of exchange and measure of value
母親 /母亲,noun,mother,"female (human) who parents a child, gives birth to a baby, or is pregnant"
娘親 /娘亲,noun,mother,"female (human) who parents a child, gives birth to a baby, or is pregnant"
阿姆,noun,mother,"female (human) who parents a child, gives birth to a baby, or is pregnant"
山,noun,mountain,large mass of earth and rock
老鼠,noun,mouse,rodent of the genus Mus
滑鼠,noun,mouse,computing: input device
口,noun,mouth,the opening of a creature through which food is ingested
嘴,noun,mouth,the opening of a creature through which food is ingested
電影 /电影,noun,movie,motion picture
博物館 /博物馆,noun,museum,building or institution
音樂 /音乐,noun,music,"sound, organized in time in a melodious way"
名仔,noun,name,"word or phrase indicating a particular person, place, class or thing"
名字,noun,name,"word or phrase indicating a particular person, place, class or thing"
新,adj,new,recently made or created
報紙 /报纸,noun,newspaper,publication
新聞紙 /新闻纸,noun,newspaper,publication
報紙 /报纸,noun,newspaper,paper on which newspapers are printed
新聞紙 /新闻纸,noun,newspaper,paper on which newspapers are printed
北,noun,north,compass point
鼻,noun,nose,protuberance on the face
鼻公,noun,nose,protuberance on the face
唔,adv,not,negates meaning of another word
這下 /这下,adv,now,at the present time
今這下 /今这下,adv,now,at the present time
現下 /现下,adv,now,at the present time
如今,adv,now,at the present time
舊 /旧,adj,old,"of an object, concept, etc: having existed for a relatively long period of time"
洋蔥 /洋葱,noun,onion,Allium cepa
頁 /页,noun,page,one side of a leaf of a book
紙 /纸,noun,paper,sheet material
筆 /笔,noun,pen,writing tool
鋼筆 /钢笔,noun,pen,writing tool
鉛筆 /铅笔,noun,pencil,graphite writing-instrument
胡椒,noun,pepper,spice
番椒,noun,pepper,fruit of the capsicum
馦椒,noun,pepper,fruit of the capsicum
人,noun,person,individual
豬 /猪,noun,pig,mammal of genus Sus
豬仔 /猪仔,noun,pig,mammal of genus Sus
地方,noun,place,"location, position"
植物,noun,plant,organism capable of photosynthesis
警察,noun,police,local or general law enforcement agency
馬鈴薯 /马铃薯,noun,potato,plant tuber eaten as starchy vegetable
練習 /练习,noun,practice,repetition of an activity to improve skill
今下,noun,present,current time
價錢 /价钱,noun,price,cost required to gain possession of something
節目 /节目,noun,program,performance of a show or other broadcast on radio or television
問題 /问题,noun,question,"sentence, phrase or word"
收音機 /收音机,noun,radio,receiver
啦濟喲 /啦济哟,noun,radio,receiver
雨,noun,rain,condensed water from a cloud
讀 /读,verb,read,to look at and interpret letters or other information
紅 /红,adj,red,"left-wing, socialist or communist"
紅色 /红色,adj,red,"left-wing, socialist or communist"
記得 /记得,verb,remember,to recall from one's memory
餐廳 /餐厅,noun,restaurant,an eating establishment in which diners are served food
結果 /结果,noun,result,that which results
結果 /结果,noun,result,"fruit, beneficial or tangible effect"
禾仔,noun,rice,seeds used as food
權利 /权利,noun,right,legal or moral entitlement
房間 /房间,noun,room,division in a building
走,verb,run,to move quickly on two feet
鹽 /盐,noun,salt,sodium chloride
三明治,noun,sandwich,dish — see also open sandwich
學校 /学校,noun,school,an institution dedicated to teaching and learning
學堂 /学堂,noun,school,an institution dedicated to teaching and learning
學校 /学校,noun,school,an institution dedicated to teaching and learning before college or university
科學 /科学,noun,science,collective discipline of learning acquired through the scientific method
綿羊 /绵羊,noun,sheep,animal
鞋仔,noun,shoe,protective covering for the foot
店仔,noun,shop,establishment that sells goods
歌手,noun,singer,person who sings (male or generic term)
睡目,verb,sleep,to rest in state of reduced consciousness
細 /细,adj,small,not large
蛇,noun,snake,legless reptile
蛇哥,noun,snake,legless reptile
雪,noun,snow,"partly frozen, crystalline state of water that falls from the atmosphere as precipitation in flakes; falling of such flakes; accumulation of them as a white layer"
倈仔 /俫仔,noun,son,a male person in relation to his parents
孻仔 /𡥧仔,noun,son,a male person in relation to his parents
養子 /养子,noun,son,an adopted son
歌,noun,song,music with words
聲音 /声音,noun,sound,sensation perceived by the ear
南,noun,south,compass point
太空,noun,space,area beyond atmosphere of planets
宇宙,noun,space,area beyond atmosphere of planets
講 /讲,verb,speak,to communicate with one's voice using words
運動 /运动,noun,sport,any athletic activity that uses physical skills
春天,noun,spring,season between winter and summer in temperate climates
星仔,noun,star,"a celestial body appearing as a point of light on the clear night sky, whose position is relatively fixed with respect to each other"
星仔,noun,star,"a celestial body appearing as a point of light on the clear night sky, whose position is relatively fixed with respect to each other"
站,noun,station,place where a vehicle may stop
故事,noun,story,account of events
學生 /学生,noun,student,person who studies a subject
書房 /书房,noun,study,room in a house intended for reading and writing
成功,noun,success,achievement of one's aim or goal
糖,noun,sugar,sucrose from sugar cane or sugar beet used to sweeten food and drink
熱天 /热天,noun,summer,hottest season
日頭 /日头,noun,sun,"a star, especially when seen as the centre of any single solar system"
太陽 /太阳,noun,sun,"a star, especially when seen as the centre of any single solar system"
泅水,verb,swim,move through water
洗身仔,verb,swim,move through water
泅水仔,verb,swim,move through water
計程車 /计程车,noun,taxi,vehicle available for public hire
他庫西 /他库西,noun,taxi,vehicle available for public hire
茶,noun,tea,drink made from leaves of tea plant
先生,noun,teacher,person who teaches
教師 /教师,noun,teacher,person who teaches
老師 /老师,noun,teacher,person who teaches
電話 /电话,noun,telephone,a device used for two-way talking with other people
電視 /电视,noun,television,medium
東西 /东西,noun,thing,"that which is considered to exist as a separate entity, object, quality or concept"
物件,noun,thing,"that which is considered to exist as a separate entity, object, quality or concept"
嘴渴,adj,thirsty,needing to drink
肚渴,adj,thirsty,needing to drink
時間 /时间,noun,time,inevitable passing of events
擺 /摆,noun,time,instance or occurrence
𤸁,adj,tired,in need of rest or sleep
今晡日,adv,today,on the current day
今晡日,noun,today,today (noun)
番茄,noun,tomato,fruit
韶早,adv,tomorrow,on the day after the present day
韶早,noun,tomorrow,the day after the present day
也,adv,too,likewise
牙齒 /牙齿,noun,tooth,anatomy: tooth
城市,noun,town,settlement
火車 /火车,noun,train,line of connected cars or carriages
樹 /树,noun,tree,large woody plant
樹仔 /树仔,noun,tree,large woody plant
遮仔,noun,umbrella,cloth-covered frame used for protection against rain or sun
阿伯,noun,uncle,brother (or brother-in-law) of someone’s parent
阿叔,noun,uncle,brother (or brother-in-law) of someone’s parent
阿舅,noun,uncle,brother (or brother-in-law) of someone’s parent
母舅,noun,uncle,brother (or brother-in-law) of someone’s parent
姑丈,noun,uncle,brother (or brother-in-law) of someone’s parent
姨丈,noun,uncle,brother (or brother-in-law) of someone’s parent
大學 /大学,noun,university,institution of higher education
行,verb,walk,to move on the feet
行路,verb,walk,to move on the feet
愛 /爱,verb,want,to desire
想愛 /想爱,verb,want,to desire
時錶仔 /时表仔,noun,watch,portable or wearable timepiece
看,verb,watch,to look at for a period of time
水,noun,water,inorganic compound H₂O
著 /着,verb,wear,to have on (clothes or accessories)
戴,verb,wear,to have on (clothes or accessories)
天氣 /天气,noun,weather,state of the atmosphere
天色,noun,weather,state of the atmosphere
天時 /天时,noun,weather,state of the atmosphere
禮拜 /礼拜,noun,week,period of seven days
西,noun,west,compass point
哪仔,adv,where,at what place; to what place; from what place
哪位,adv,where,at what place; to what place; from what place
哪仔,adv,where,at or in which place
哪位,adv,where,at or in which place
哪仔,adv,where,wherever
哪位,adv,where,wherever
白色,noun,white,color
做麼個 /做么个,adv,why,for what reason
餔娘 /𫗦娘,noun,wife,female partner in a marriage
太太,noun,wife,female partner in a marriage
老姐,noun,wife,female partner in a marriage
窗仔,noun,window,opening for light and air
窗門 /窗门,noun,window,opening for light and air
葡萄酒,noun,wine,alcoholic beverage made from grapes
寒天,noun,winter,"fourth season, marked by short days and the lowest temperatures"
冷天,noun,winter,"fourth season, marked by short days and the lowest temperatures"
女人,noun,woman,adult female person
工作,verb,work,to do a specific task
做事,verb,work,to do a specific task
世界,noun,world,human collective existence
宇宙,noun,world,the universe
世界,noun,world,the Earth
世界,noun,world,inhabited planet
世界,noun,world,individual or group perspective or social setting
寫 /写,verb,write,"to form letters, etc."
年,noun,year,time it takes for the Earth to complete one revolution around the Sun
年,noun,year,time it takes for the Earth to complete one revolution around the Sun
昨晡日,adv,yesterday,on the day before today
昨晡日,noun,yesterday,day before today
年輕 /年轻,adj,young,in the early part of life or growth
