word,part_of_speech,english_word,sense
禮拜五 /礼拜五,noun,Friday,day of the week
禮拜六 /礼拜六,noun,Saturday,day of the week
地址,noun,address,description of the location of a property; direction for correspondence
空氣 /空气,noun,air,historical: one of the basic elements
空氣 /空气,noun,air,mixture of gases making up the atmosphere of the Earth
機場 /机场,noun,airport,place designated for airplanes
動物 /动物,noun,animal,organism
回答,noun,answer,response
公寓,noun,apartment,domicile occupying part of a building
蘋果 /苹果,noun,apple,fruit of Malus domestica
藝術 /艺术,noun,art,human effort
文章,noun,article,"story, report, or opinion piece"
小毛頭 /小毛头,noun,baby,very young human being
小小囡,noun,baby,very young human being
包,noun,bag,flexible container
香蕉,noun,banana,fruit
銀行 /银行,noun,bank,institution
漂亮,adj,beautiful,attractive
好看,adj,beautiful,attractive
床,noun,bed,piece of furniture
啤酒,noun,beer,alcoholic drink made of malt
腳踏車 /脚踏车,noun,bicycle,vehicle
自行車 /自行车,noun,bicycle,vehicle
鳥 /鸟,noun,bird,animal
生日,noun,birthday,anniversary
黑,adj,black,absorbing all light
船,noun,boat,water craft
書 /书,noun,book,collection of sheets of paper bound together containing printed or written material
瓶,noun,bottle,container
瓶子,noun,bottle,container
麵包 /面包,noun,bread,baked dough made from cereals
公共汽車 /公共汽车,noun,bus,vehicle
公交車 /公交车,noun,bus,vehicle
白脫 /白脱,noun,butter,soft foodstuff made from milk
牛油,noun,butter,soft foodstuff made from milk
白脫油 /白脱油,noun,butter,soft foodstuff made from milk
汽車 /汽车,noun,car,"automobile, a vehicle steered by a driver"
貓 /猫,noun,cat,domestic species
椅子,noun,chair,furniture
便宜,adj,cheap,low and/or reduced in price
𠼢,adj,cheap,low and/or reduced in price
起司,noun,cheese,dairy product
雞 /鷄 /鸡,noun,chicken,bird
小囡,noun,child,son or daughter; someone's child
巧克力,noun,chocolate,food made from ground roasted cocoa beans
城市,noun,city,large settlement
時鐘 /时钟,noun,clock,instrument to measure or keep track of time
鐘 /钟,noun,clock,instrument to measure or keep track of time
衣裳,noun,clothes,apparel
俱樂部 /俱乐部,noun,club,association of members
咖啡,noun,coffee,beverage
冷,adj,cold,having a low temperature
色,noun,color,spectral composition of visible light
顏色 /颜色,noun,color,spectral composition of visible light
來 /来,verb,come,to move nearer
公司,noun,company,"in legal context, a corporation"
企業 /企业,noun,company,"in legal context, a corporation"
電腦 /电脑,noun,computer,programmable electronic device
國家 /国家,noun,country,nation state
雌牛,noun,cow,female domesticated ox or other bovine
牛娘,noun,cow,female domesticated ox or other bovine
牛,noun,cow,any domestic bovine regardless of sex or age
文化,noun,culture,"arts, customs and habits"
杯子,noun,cup,drinking vessel
舞蹈,noun,dance,movements to music
跳舞,noun,dance,movements to music
囡兒 /囡儿,noun,daughter,female offspring
天,noun,day,period of 24 hours
日,noun,day,period of 24 hours
字典,noun,dictionary,publication that explains the meanings of an ordered list of words
詞典 /词典,noun,dictionary,publication that explains the meanings of an ordered list of words
死,verb,die,to stop living
難 /难,adj,difficult,"hard, not easy"
齷齪 /龌龊,adj,dirty,covered with or containing dirt
碟子,noun,dish,vessel for holding/serving food
狗,noun,dog,animal
門 /门,noun,door,"portal of entry into a building, room or vehicle"
戶 /户,noun,door,"portal of entry into a building, room or vehicle"
吃,verb,drink,consume liquid through the mouth
耳朵,noun,ear,organ of hearing
東 /东,noun,east,compass point
吃,verb,eat,"to ingest — see also consume, ingest"
吃飯 /吃饭,verb,eat,eat a meal
象,noun,elephant,mammal
眼睛,noun,eye,organ
眼,noun,eye,organ
面孔,noun,face,anatomy: front part of head
面顴 /面颧,noun,face,anatomy: front part of head
家庭,noun,family,"immediate family [as a group], e.g. parents and their children"
家,noun,family,"immediate family [as a group], e.g. parents and their children"
家族,noun,family,"group of people related by blood, marriage, law, or custom"
農夫 /农夫,noun,farmer,person who works the land and/or who keeps livestock
農民 /农民,noun,farmer,person who works the land and/or who keeps livestock
父親 /父亲,noun,father,male parent
爸爸,noun,father,male parent
火,noun,fire,oxidation reaction
魚 /鱼,noun,fish,vertebrate animal
花,noun,flower,reproductive structure in angiosperms
食物,noun,food,any substance consumed by living organisms to sustain life
腳 /脚,noun,foot,part of human body
足球,noun,football,association football
忘記 /忘记,verb,forget,to lose remembrance of
朋友,noun,friend,person whose company one enjoys
遊戲 /游戏,noun,game,"playful activity that may be unstructured, amusement, pastime"
花園 /花园,noun,garden,piece of land outside with flowers and plants
囡兒 /囡儿,noun,girl,young female person
撥 /拨,verb,give,transfer the possession of something to someone else
玻璃,noun,glass,substance
杯子,noun,glass,drinking vessel
吉他,noun,guitar,musical instrument
頭髮 /头发,noun,hair,mass of such filaments on the human head
手,noun,hand,part of the fore limb
帽子,noun,hat,a head covering
有,verb,have,to possess
頭 /头,noun,head,part of the body
健康,noun,health,"state of being free of physical or psychological disease, illness, or malfunction"
搿搭,adv,here,"in, on, or at this place"
歷史 /历史,noun,history,aggregate of past events
屋裡 /屋里,noun,home,house or structure in which someone lives
希望,verb,hope,"to want something to happen, with expectation that it might"
馬 /马,noun,horse,members of the species Equus ferus
醫院 /医院,noun,hospital,large medical facility
熱 /热,adj,hot,having a high temperature
飯店 /饭店,noun,hotel,establishment providing accommodation
鐘頭 /钟头,noun,hour,time period of sixty minutes
點 /点,noun,hour,"unit to denote the hour, such as military usage in English"
時 /时,noun,hour,"unit to denote the hour, such as military usage in English"
點鐘 /点钟,noun,hour,"unit to denote the hour, such as military usage in English"
房子,noun,house,human abode
哪能,adv,how,in what manner
丈夫,noun,husband,male partner in marriage
愛人 /爱人,noun,husband,male partner in marriage
先生,noun,husband,male partner in marriage
男人,noun,husband,male partner in marriage
冰,noun,ice,water in frozen form
冰淇淋,noun,ice cream,dessert
冷飲 /冷饮,noun,ice cream,dessert
島 /岛,noun,island,area of land completely surrounded by water
島嶼 /岛屿,noun,island,area of land completely surrounded by water
牛仔褲 /牛仔裤,noun,jeans,denim trousers
