word,part_of_speech,english_word,sense
bike,noun,bike,Clipping of bicycle.
bill,noun,bill,"A written list or inventory. (Now obsolete except in specific senses or set phrases; bill of lading, bill of goods, etc.)"
bill,noun,bill,"Any of various bladed or pointed hand weapons, originally designating an Anglo-Saxon sword, and later a weapon of infantry, especially in the 14th and 15th centuries, commonly consisting of a broad, heavy, double-edged, hook-shaped blade, with a short pike at the back and another at the top, attached to the end of a long staff."
bill,noun,bill,"The beak of a bird, especially when small or flattish; sometimes also used with reference to a platypus, turtle, or other animal."
bird,noun,bird,"An animal of the clade (traditionally class) Aves in the phylum Chordata, characterized by being warm-blooded, having feathers and wings usually capable of flight, having a beaked mouth, and laying eggs."
birthday,noun,birthday,The anniversary of the day on which someone is born.
black,adj,black,Absorbing all light and reflecting none; dark and hueless.
black,noun,black,"The colour/color perceived in the absence of light, but also when no light is reflected, but rather absorbed."
blog,noun,blog,"A website that allows users to reflect, share opinions, and discuss various topics in the form of an online journal, sometimes letting readers comment on their posts. Most blogs are written in a slightly informal tone (personal journals, news, businesses, etc.)"
blond,adj,blond,Of a bleached or pale golden (light yellowish) colour.
blue,adj,blue,Of a blue hue.
blue,noun,blue,The colour of the clear sky or the deep sea; the colour midway between green and violet in the visible spectrum and one of the primary additive colours.
boat,noun,boat,"A craft used for transportation of goods, fishing, racing, recreational cruising, or military use on or in the water, propelled by oars or outboard motor or inboard motor or by wind."
body,noun,body,Physical frame.
book,noun,book,"A collection of sheets of paper bound together to hinge at one edge, containing printed or written material, pictures, etc."
boot,noun,boot,A bootleg recording.
boot,noun,boot,A heavy shoe that covers part of the leg.
boot,noun,boot,"Remedy, amends."
boot,noun,boot,The act or process of bootstrapping; the starting or re-starting of a computing device.
bored,adj,bored,Suffering from boredom; mildly annoyed and restless through having nothing to do.
boring,adj,boring,Causing boredom or tiredness; making one feel tired and impatient.
bottle,noun,bottle,"A container, typically made of glass or plastic and having a tapered neck, used primarily for holding liquids."
box,noun,box,A blow with the fist.
box,noun,box,"Any of various evergreen shrubs or trees of genus Buxus, especially common box, European box, or boxwood (Buxus sempervirens) which is often used for making hedges and topiary."
box,noun,box,Senses relating to a three-dimensional object or space.
boy,noun,boy,A human male child.
boyfriend,noun,boyfriend,A male partner in an unmarried romantic relationship.
bread,noun,bread,A foodstuff made by baking dough made from cereals.
break,noun,break,An instance of breaking something into two or more pieces.
break,verb,break,"To separate into two or more pieces, to fracture or crack, by a process that cannot easily be reversed for reassembly."
breakfast,noun,breakfast,"The first meal of the day, usually eaten in the morning."
bring,verb,bring,To transport toward somebody/somewhere.
brother,noun,brother,Son of the same parents as another person.
brown,adj,brown,Having a brown colour.
brown,noun,brown,A colour like that of chocolate or coffee.
build,verb,build,To form (something) by combining materials or parts.
building,noun,building,The act or process by which something is built; construction.
bus,noun,bus,A motor vehicle for transporting large numbers of people along roads.
business,noun,business,A specific commercial enterprise or establishment.
busy,adj,busy,Crowded with business or activities; having a great deal going on.
butter,noun,butter,"A soft, fatty foodstuff made by churning the cream of milk (generally cow's milk)."
buy,verb,buy,To obtain (something) in exchange for money or goods.
cake,noun,cake,"A rich, sweet dessert food, typically made of flour, sugar, and eggs and baked in an oven, and often covered in icing."
call,noun,call,A cry or shout.
call,verb,call,To reach out with one's voice.
camera,noun,camera,Example: He used his camera to click photos of the bears in the zoo.
can,verb,can,To know how to.
can,verb,can,To seal in a can.
cannot,verb,cannot,Can not (be unable to).
capital,noun,capital,"Already-produced durable goods available for use as a factor of production, such as steam shovels (equipment) and office buildings (structures)."
capital,noun,capital,The uppermost part of a column.
car,noun,car,"A wheeled vehicle that moves independently, with at least three wheels, powered mechanically, steered by a driver and mostly for personal transportation."
card,noun,card,A playing card.
card,noun,card,Material with embedded short wire bristles.
career,noun,career,"One’s calling in life; one's working occupation or profession, especially when pursued seriously and/or over a long period of time."
carrot,noun,carrot,"A vegetable with a nutritious, juicy, sweet root that is often orange in colour, Daucus carota, family Apiaceae, especially the subspecies sativus."
carry,verb,carry,To lift (something) and take it to another place; to transport (something) by lifting.
cat,noun,cat,An animal of the family Felidae:
cent,noun,cent,A subunit of currency equal to one-hundredth of the main unit of currency in many countries. Symbol: ¢.
center,noun,center,The point in the interior of a circle that is equidistant from all points on the circumference.
chair,noun,chair,"An item of furniture used to sit on or in, comprising a seat, legs or wheels, back, and sometimes arm rests, for use by one person."
change,noun,change,The process of becoming different.
change,verb,change,To become something different.
chart,noun,chart,A map.
cheap,adj,cheap,Low or reduced in price.
check,verb,check,To inspect; to examine.
cheese,noun,cheese,A dairy product made from curdled or cultured milk.
chicken,noun,chicken,"A domesticated subspecies of red junglefowl (Gallus gallus domesticus), especially so-called when young."
child,noun,child,"A person who has not yet reached adulthood, whether natural (puberty), cultural (initiation), or legal (majority)."
chocolate,noun,chocolate,A food made from ground roasted cocoa beans.
choose,verb,choose,To pick; to make the choice of; to select.
city,noun,city,"A large settlement, bigger than a town; sometimes with a specific legal definition, depending on the place."
class,noun,class,"A group, collection, category or set sharing characteristics or attributes."
classroom,noun,classroom,"A room, often in a school, where classes take place."
clean,adj,clean,"Free of dirt, filth, or impurities (extraneous matter); not dirty, filthy, or soiled."
clean,verb,clean,To remove dirt from a place or object.
climb,verb,climb,To ascend; rise; to go up.
clock,noun,clock,"A chronometer, an instrument that measures time, particularly the time of day."
clock,noun,clock,A pattern near the heel of a sock or stocking.
close,verb,close,"To remove or block an opening, gap or passage through."
clothes,noun,clothes,Items of clothing; apparel.
club,noun,club,"An association of members joining together for some common purpose, especially sports or recreation."
coat,noun,coat,An outer garment covering the upper torso and arms.
coffee,noun,coffee,A beverage made by infusing the beans of the coffee plant in hot water.
cold,adj,cold,Having a low temperature.
cold,noun,cold,A condition of low temperature.
college,noun,college,An academic institution.
color,noun,color,The spectral composition of visible light.
come,verb,come,To move nearer to the point of perspective.
common,adj,common,Mutual; shared by more than one.
company,noun,company,A team; a group of people who work together professionally.
compare,verb,compare,"To assess the similarities and differences between two or more things [""to compare X with Y""]. Having made the comparison of X with Y, one might have found it similar to Y or different from Y."
complete,adj,complete,With all parts included; with nothing missing; full.
complete,verb,complete,To finish; to make done; to reach the end.
computer,noun,computer,A person employed to perform computations; one who computes.
concert,noun,concert,An agreement in a design or plan; a union formed by mutual communication of opinions and views; an accordance in a scheme; harmony; a simultaneous action.
conversation,noun,conversation,"Expression and exchange of individual ideas through talking with other people; also, a set instance or occasion of such talking."
cook,verb,cook,"To prepare food for eating by heating it, often combining with other ingredients."
cooking,noun,cooking,The process of preparing food by using heat.
cool,adj,cool,Of a mildly low temperature.
correct,adj,correct,Free from error; true; accurate.
correct,verb,correct,To make something that was wrong become right; to remove error from.
cost,noun,cost,"Amount of money, time, etc. that is required or used."
cost,verb,cost,To incur a charge of; to require payment of a (specified) price.
country,noun,country,"The territory of a nation; a sovereign state or a region once independent and still distinct in institutions, language, etc."
course,noun,course,A sequence of events.
cousin,noun,cousin,Chiefly with a qualifying word: Any relation (especially a distant one) who is not a direct ancestor or descendant but part of a person's extended family; a kinsman or kinswoman.
cow,noun,cow,"An adult female of the species Bos taurus, especially one that has calved."
cream,noun,cream,The butterfat or milkfat part of milk which rises to the top; this part when separated from the remainder.
create,verb,create,To bring into existence; (sometimes in particular:)
culture,noun,culture,"The arts, customs, lifestyles, background, and habits that characterize humankind, or a particular society or nation."
cup,noun,cup,"A concave vessel for drinking, usually made of opaque material (as opposed to a glass) and with a handle."
customer,noun,customer,"A habitual patron, regular purchaser, returning client; a person or company who has a custom of buying from a particular business."
cut,verb,cut,"To incise, to cut into the surface of something."
dad,noun,dad,"A father, a male parent."
